Id,Label,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,strongcompnum,modularity_class,stat_inf_class,clustering,eigencentrality
7188,,0,1,1,0,1,1,6,0.293546,0.312198,0,0,0.003539,0.00005,0,507,0,17,0,0
1,,398,490,888,236.9,275.2,512.1,5,0.41541,0.479993,2132893.99254,0.149924,0.150574,0.01699,0,506,0,17,0.005299,0.892429
430,,6,9,15,3.95,5.96,9.91,6,0.316684,0.337563,10350.766924,0.003074,0.008439,0.000287,0,506,4,3,0.055556,0.021304
3134,,3,4,7,1.55,2.65,4.2,6,0.31792,0.337163,86.776374,0.009975,0.008235,0.000119,0,506,0,6,0.4,0.050502
3026,,1,1,2,0.55,1,1.55,6,0.293514,0.312147,0,0.003555,0.003539,0.000079,0,506,0,17,0,0.023763
3010,,1,1,2,0.55,1,1.55,6,0.293514,0.312147,0,0.003555,0.003539,0.000079,0,506,0,17,0,0.023763
804,,7,7,14,4,4.45,8.45,6,0.323771,0.34355,4291.803773,0.012868,0.01286,0.000349,0,506,0,105,0.119048,0.070051
160,,9,10,19,6.85,7.05,13.9,6,0.308547,0.329335,11852.479276,0.006106,0.006392,0.000461,0,506,0,3,0.2,0.043541
95,,101,122,223,54.27,62.13,116.4,6,0.391782,0.425687,246559.308969,0.119136,0.127858,0.002951,0,506,4,10,0.090112,0.600818
377,,4,4,8,3.1,3.4,6.5,6,0.293859,0.312904,10936.973232,0.00359,0.003649,0.000308,0,506,0,15,0.166667,0.025026
888,,4,5,9,2.45,3.2,5.65,6,0.309107,0.328876,3231.181936,0.006697,0.005012,0.000187,0,506,0,13,0.25,0.032388
89,,49,46,95,28.31,26.02,54.33,6,0.352725,0.377119,111176.661537,0.036681,0.034336,0.001828,0,506,7,86,0.06184,0.212281
1901,,1,1,2,0.65,0.8,1.45,6,0.293514,0.312147,0,0.003555,0.003539,0.000079,0,506,0,17,0,0.023763
161,,35,36,71,19.85,20.7,40.55,6,0.347556,0.372667,26772.987411,0.02869,0.03557,0.001284,0,506,1,56,0.085586,0.164529
256,,30,30,60,16.61,16.86,33.47,6,0.344805,0.368037,51644.960557,0.028685,0.02463,0.001092,0,506,2,9,0.111895,0.161314
351,,14,16,30,8.2,9.45,17.65,6,0.329929,0.353558,11703.437516,0.018778,0.02084,0.000427,0,506,4,100,0.205882,0.096075
3329,,1,1,2,0.55,0.75,1.3,6,0.293514,0.312147,0,0.003555,0.003539,0.000079,0,506,0,17,0,0.023763
3341,,1,1,2,0.55,0.75,1.3,6,0.293514,0.312147,0,0.003555,0.003539,0.000079,0,506,0,17,0,0.023763
649,,14,13,27,7.65,7.45,15.1,6,0.32526,0.346637,3843.617305,0.020329,0.016802,0.000417,0,506,4,15,0.263736,0.106469
1583,,1,1,2,0.7,0.75,1.45,6,0.293514,0.312147,0,0.003555,0.003539,0.000079,0,506,0,17,0,0.023763
87,,54,59,113,30.85,31.08,61.93,6,0.365418,0.393871,89831.676965,0.054666,0.05592,0.001539,0,506,4,38,0.090869,0.277799
37,,46,54,100,30.4,34.47,64.87,6,0.374139,0.400747,127213.066427,0.046142,0.053678,0.001589,0,506,1,14,0.11585,0.253858
309,,23,23,46,12.85,13,25.85,6,0.340946,0.364621,24796.395156,0.028883,0.02588,0.000711,0,506,4,15,0.148551,0.154369
821,,4,4,8,2.5,2.6,5.1,6,0.304238,0.323219,1417.391517,0.005083,0.005201,0.000166,0,506,0,12,0.166667,0.032454
1496,,2,2,4,1.2,1.3,2.5,6,0.296651,0.315417,0,0.00415,0.004118,0.000103,0,506,0,17,1,0.026807
637,,7,7,14,4.15,4.2,8.35,6,0.323268,0.345067,2183.924088,0.013033,0.011092,0.000234,0,506,0,15,0.238095,0.06401
964,,6,4,10,3.4,2.5,5.9,6,0.315563,0.334935,3458.552999,0.01126,0.006543,0.000212,0,506,4,2,0.233333,0.05887
594,,5,5,10,3.2,3.35,6.55,6,0.306804,0.326559,1556.116702,0.005787,0.005692,0.000204,0,506,0,22,0.25,0.037509
2249,,1,1,2,0.6,0.75,1.35,6,0.293514,0.312147,0,0.003555,0.003539,0.000079,0,506,0,17,0,0.023763
554,,4,3,7,2.75,2.5,5.25,6,0.316309,0.337074,1896.808138,0.007509,0.006565,0.000165,0,506,4,24,0.166667,0.040304
20,,53,57,110,37.15,38.71,75.86,6,0.37515,0.40254,89139.78447,0.066539,0.069631,0.001635,0,506,2,50,0.143823,0.341351
2227,,1,1,2,0.6,0.75,1.35,6,0.293514,0.312147,0,0.003555,0.003539,0.000079,0,506,0,17,0,0.023763
1315,,2,2,4,1.25,1.45,2.7,6,0.293629,0.312437,781.697301,0.003592,0.003583,0.000128,0,506,0,17,0,0.024332
519,,15,14,29,8.3,8,16.3,6,0.325684,0.346726,14515.480882,0.018592,0.015033,0.000558,0,506,0,73,0.138095,0.100452
1316,,1,1,2,0.75,0.75,1.5,6,0.293514,0.312147,0,0.003555,0.003539,0.000079,0,506,0,17,0,0.023763
2149,,2,3,5,1.1,1.85,2.95,6,0.296745,0.315982,243.343089,0.003755,0.005056,0.000111,0,506,0,9,0.333333,0.024976
1724,,2,2,4,1.15,1.3,2.45,6,0.302177,0.321577,330.428499,0.005199,0.005462,0.000112,0,506,0,17,0,0.034239
18,,78,78,156,49.75,49.25,99,6,0.358153,0.386763,246582.566512,0.033152,0.034107,0.003395,0,506,0,3,0.032716,0.210064
57,,55,58,113,32.65,35.35,68,6,0.349795,0.376902,204360.51679,0.020995,0.02209,0.002613,0,506,0,3,0.034699,0.137344
118,,36,38,74,21.15,22.21,43.36,6,0.346848,0.37256,21041.13943,0.050096,0.045853,0.000949,0,506,4,25,0.224022,0.246573
3254,,10,11,21,5.06,6.45,11.51,6,0.328109,0.350801,3821.289326,0.017777,0.018552,0.000311,0,506,4,106,0.327273,0.097177
1177,,2,3,5,1.3,1.95,3.25,6,0.29379,0.312837,518.467181,0.003591,0.003697,0.000108,0,506,0,3,0,0.024304
112,,21,24,45,13.85,15.55,29.4,6,0.349273,0.375024,21567.421755,0.02958,0.034052,0.000699,0,506,4,20,0.226449,0.156929
11,,203,203,406,115.7,109.6,225.3,6,0.429899,0.467383,726200.577268,0.197538,0.20059,0.006198,0,506,2,4,0.056058,1
586,,8,7,15,4.7,4.3,9,6,0.312536,0.332284,7947.213613,0.011248,0.008675,0.000326,0,506,2,61,0.178571,0.063852
35,,82,27,109,49,14,63,6,0.34163,0.365341,97312.864702,0.056499,0.024202,0.002182,0,506,6,35,0.068323,0.288295
15,,123,197,320,73.99,101.89,175.88,6,0.397307,0.437506,589309.365531,0.09898,0.114429,0.00328,0,506,6,72,0.038134,0.497605
1445,,2,2,4,1.2,1.45,2.65,6,0.311471,0.332119,0,0.006157,0.006001,0.000111,0,506,0,17,1,0.039355
152,,26,32,58,15.45,20.05,35.5,6,0.347459,0.370541,26423.860152,0.021219,0.027253,0.001069,0,506,1,81,0.113191,0.124079
2,,205,195,400,139.25,117.41,256.66,5,0.430838,0.466515,893043.890148,0.173652,0.160447,0.00663,0,506,1,5,0.048873,0.892806
113,,40,38,78,23.32,23.62,46.94,6,0.369891,0.396339,49313.642804,0.058553,0.050779,0.001104,0,506,1,34,0.124898,0.305618
44,,49,50,99,30.55,31.75,62.3,6,0.367389,0.393519,128867.065586,0.046111,0.044389,0.001741,0,506,1,92,0.070034,0.242086
2401,,2,2,4,1.1,1.25,2.35,6,0.306578,0.326248,343.154823,0.00592,0.005831,0.000106,0,506,0,17,0,0.035982
10,,164,177,341,96.41,102.72,199.13,6,0.41495,0.451294,613540.77692,0.13739,0.141537,0.005605,0,506,1,16,0.046102,0.718031
2378,,2,2,4,1.1,1.2,2.3,6,0.302861,0.321924,145.617382,0.005282,0.005378,0.000103,0,506,0,17,0,0.03264
126,,25,36,61,15.45,19.88,35.33,6,0.341412,0.36495,38928.729514,0.019207,0.023493,0.000684,0,506,6,72,0.135105,0.099637
3245,,1,1,2,0.55,0.65,1.2,6,0.293514,0.312147,0,0.003555,0.003539,0.000079,0,506,0,17,0,0.023763
